rougeLsum,length,str_em,Disambig-F1
30.769230769230777,105.0,33.33333333333333,33.33333333333333
35.44303797468354,23.0,66.66666666666666,66.66666666666666
63.90532544378698,103.0,50.0,62.5
43.678160919540225,74.0,33.33333333333333,19.04761904761905
24.390243902439025,7.0,50.0,50.0
43.90243902439025,35.0,50.0,50.0
20.51282051282051,21.0,50.0,0.0
22.222222222222225,24.0,100.0,100.0
37.62376237623763,35.0,100.0,100.0
19.101123595505616,112.0,50.0,0.0
33.599999999999994,52.0,0.0,10.0
54.05405405405405,13.0,50.0,72.22222222222221
64.40677966101694,22.0,50.0,50.0
37.83783783783783,17.0,33.33333333333333,33.33333333333333
26.66666666666667,24.0,50.0,54.166666666666664
36.7816091954023,25.0,33.33333333333333,33.33333333333333
45.76271186440678,51.0,100.0,80.0
18.30985915492958,227.0,50.0,33.33333333333333
50.48543689320388,59.0,100.0,100.0
36.19047619047619,69.0,100.0,90.0
